Senior,Junior,Relationship,Person 1 URL
Ankichi Arakaki,Shōshin Nagamine,sensei,https://en.wikipedia.org/wiki/Ankichi_Arakaki
Anko Itosu,Chomo Hanashiro,sensei
Anko Itosu,Chosin Chibana,sensei
Anko Itosu,Genwa Nakasone,sensei,
Anko Itosu,Kentsū Yabu,sensei,
Anko Itosu,Kenwa Mabuni,sensei,https://en.wikipedia.org/wiki/Ank%C5%8D_Itosu
Anko Itosu,Motobu Choki,sensei,
Anko Itosu,Shinpan Gusukuma,sensei
"Ankō Asato
(early studies)",Kōri Hisataka,sensei,
Ankō Asato,Gichin Funakoshi,sensei,
Annan,Sōkon Matsumura,sensei,https://en.wikipedia.org/wiki/Chint%C5%8D
"Chofu Kyan 
(Chotoku Kyan's father)",Chotoku Kyan,family,
Chomo Hanashiro,Ankichi Arakaki,sensei,https://en.wikipedia.org/wiki/Ch%C5%8Dmo_Hanashiro
Chomo Hanashiro,Tsuyoshi Chitose,sensei,
Chosin Chibana,Ankichi Arakaki,sensei
Chotoku Kyan,Kōri Hisataka,sensei,
Chotoku Kyan,Ryosei Kuwae,sensei,
Chotoku Kyan,Shōshin Nagamine,sensei,
Chotoku Kyan,Tsuyoshi Chitose,sensei,
Chōjun Miyagi,Kōri Hisataka,partner,
Genwa Nakasone,,,https://karateresearch.com/2025/01/21/article-by-nakasone-genwa-1938/
Gichin Funakoshi,Minoru Mochizuki,sensei,https://en.wikipedia.org/wiki/Gichin_Funakoshi
Hakkyoku kempo (Bājíquán) master in Manchuria,Kōri Hisataka,sensei,
Harvey Brown,Mike Arts,sensei,
Harvey Brown,Patrick Finn,sensei,https://ottawachitokai.ca/
Ishimine Peichin,Sanda Kanagusuku,maybe,
Kanryo Higaonna,Chōjun Miyagi,sensei,
Kanryo Higaonna,Kenwa Mabuni,sensei,
Kanryo Higaonna,Kōri Hisataka,trained,
Kanryo Higaonna,Shinpan Gusukuma,sensei
Kanryo Higaonna,Tsuyoshi Chitose,sensei,
Kanō Jigorō,Minoru Mochizuki,sensei,
Kanō Jigorō,Sanpo Toku,sensei,
Kentsū Yabu,Genwa Nakasone,maybe,
Kentsū Yabu,Kōri Hisataka,trained,
Kenwa Mabuni,Kōri Hisataka,partner,
Kokan Oyadomari,Chotoku Kyan,sensei,
Kosaku Matsumora,Chotoku Kyan,sensei,
Kosaku Matsumora,Motobu Choki,sensei,
Kotatsu Iha,Shōshin Nagamine,sensei,
Kōri Hisataka,Masayuki Hisataka,family,
Kōri Hisataka,Minoru Morita,sensei,
Kōri Hisataka,Shigeru Ishino,sensei,
Kōri Hisataka,Shunji Watanabe,sensei,
Kōri Hisataka,Tamon Kashimoto,sensei,
Kōri Histataka's uncle,Kōri Hisataka,family,
Kūsankū,Tode Sakugawa,sensei,https://en.wikipedia.org/wiki/K%C5%ABsank%C5%AB
Masahiko Kimura,Hiroshi Nakamura,sensei,
Masami Tsuruoka,Shane Higashi,sensei,https://en.wikipedia.org/wiki/Masami_Tsuruoka
Masatatsu Oyama,,,https://en.wikipedia.org/wiki/Mas_Oyama
Masayuki Hisataka,Wayne Donivan,sensei,https://en.wikipedia.org/wiki/Masayuki_Hisataka
Minoru Mochizuki,Kōri Hisataka,partner,
Morihei Ueshiba,Minoru Mochizuki,sensei,https://en.wikipedia.org/wiki/Morihei_Ueshiba
Motobu Choki,Kōri Hisataka,sensei,
Motobu Choki,Shōshin Nagamine,sensei,
Patrick Finn,Mike Arts,sensei,https://ottawachitokai.ca/
Ryosei Kuwae,Kōri Hisataka,maybe,
Sanda Kanagusuku,Kōri Hisataka,sensei,
Sanpo Toku,Kōri Hisataka,sensei,
Sanpo Toku,Minoru Mochizuki,sensei,
"Seisei Kudaka
(Kōri Histataka's father)",Kōri Hisataka,family,
"Seison Kudaka
(Kōri Histataka's grandfather)",Seisei Kudaka,family,
Seison Kudaka,Kōri Hisataka,maybe,
"Seison Toguchi
(Lord of Kudaka Island)
(Kōri Histataka's great grandfather)",Seison Kudaka,family,
Shane Higashi,Harvey Brown,sensei,
Shane Higashi,Patrick Finn,sensei,https://en.wikipedia.org/wiki/Shane_Higashi
Shigeru Ishino,,,https://ninbukai.wordpress.com/shigeru-ishino-shihan/
Shinpan Gusukuma,Kenwa Mabuni,partner,https://en.wikipedia.org/wiki/Shinpan_Gusukuma
Shunji Watanabe,,,https://en.wikipedia.org/wiki/Shunji_Watanabe
Sōkon Matsumura,Anko Itosu,sensei,
Sōkon Matsumura,Ankō Asato,sensei,
Sōkon Matsumura,Chomo Hanashiro,sensei,
Sōkon Matsumura,Chotoku Kyan,sensei,
Sōkon Matsumura,Gichin Funakoshi,sensei,
Sōkon Matsumura,Kentsū Yabu,sensei,
Sōkon Matsumura,Motobu Choki,sensei,
Sōkon Matsumura,Nabe Matsumura,sensei,
Sōkon Matsumura,Ryosei Kuwae,sensei,
Taro Shimabuku,Shōshin Nagamine,sensei,
Tode Sakugawa,Sōkon Matsumura,sensei,https://en.wikipedia.org/wiki/Sakugawa_Kanga
Tsuyoshi Chitose,Masami Tsuruoka,sensei,https://en.wikipedia.org/wiki/Tsuyoshi_Chitose
Tsuyoshi Chitose,Shane Higashi,sensei,
Wayne Donivan,,,https://kentokukan.com/biography-of-shinan-wayne-donivan/
